type,name,label::English (en),label::Nepali (ne),hint::English (en),hint::Nepali (ne),required,appearance,constraint,relevant,calculation,default,repeat_count,choice_filter,parameters
begin_group,likertcomp,,,,,,field-list,,,,,,,
note,likertnote,"Please look at this sheet of paper. As you can see, there are five diffrent points on it. This is one, this is two, this is three, this is four, and this is five. I am now going to say some things that Ivan has asked me to say. These are not thing I believe or do not believe, they are just statements Ivan asked me to say. I would like to understand your own opinion about these statements. So, if you think what I say applies completely, please point to [number 5]. If you think it applies mostly, point to [number 4]. If you think it applies somewhat, please point to [number 3]. If you think it applies a bit, point to [number 2]. And if you think it does not apply at all, point to [number 1]. Ok? So, if you think what I will say applies completely, where should you point? And if you think it applies mostly? What about if it only applies somewhat? If you think it applies only a bit? And if you think it does not apply at all? ","कृपया यो पानालाई हेर्नुहोस् त। जस्तो तपाईंले देख्न सक्नुहुन्छ, यसमा पाँच फरक अंकहरू छन्। यो एक हो, यो दुई हो, यो तीन हो, यो चार हो, र यो पाँच हो। अब म केही कुरा भन्छु जुन इभानले मलाई भन्न भनेका छन्।यी कुरा मेरो विश्वाससँग सम्बन्धित छैनन्, यी केवल इभानले मलाई भन्न भनेका कुरा हुन्। म तपाईंको आफ्नो विचार बुझ्न चाहन्छु।

यदि तपाईंलाई लाग्छ कि मैले भनेको कुरा पुरा रूपमा लागू हुन्छ भने, कृपया [नम्बर ५] तर्फ देखाउनुहोस्। यदि तपाईंलाई लाग्छ यो धेरैजसो लागु हुन्छ भने, [नम्बर ४] तर्फ देखाउनुहोस्। यदि तपाईंलाई लाग्छ यो केही मात्रामा लागु हुन्छ भने, [नम्बर ३] तर्फ देखाउनुहोस्। यदि तपाईंलाई लाग्छ यो अलिकति मात्र लागु हुन्छ भने, [नम्बर २] तर्फ देखाउनुहोस्। र यदि तपाईंलाई लाग्छ यो बिल्कुलै लागु हुँदैन भने, [नम्बर १] तर्फ देखाउनुहोस्। ठीक छ?

त्यसोभए, यदि तपाईंलाई लाग्छ मैले भनेको कुरा परा रूपमा लागु हुन्छ भने, तपाईंले कहाँ देखाउनु पर्छ? र यदि तपाईंलाई लाग्छ यो धेरैजसो लागु हुन्छ भने? यदि यो केवल केही मात्रामा लागु हुन्छ भने? यदि यो केवल अलिकति लागु हुन्छ भने? र यदि तपाईंलाई लाग्छ यो बिल्कुलै लागु हुँदैन भने?
",,,,,,,,,,,
select_one yesno,likertpassed,Did the respondent pass the comprehension check?,Did the respondent pass the comprehension check?,,,,,,,,,,,
end_group,,,,,,,,,,,,,,
begin_group,gse,Self-efficacy questions,Self-efficacy questions,,,,field-list,,${likertpassed} = ‘yes’,,,,,
select_one apply,gsechoice1,I am able to solve most problems on my own.,म प्रायः मेरो समस्या आफैं समाधान गर्न सक्षम छु।,,,,minimal,,,,,,,
select_one apply,gsechoice2,I can rely on my own abilities in difficult situations.,कठिन परिस्थितिमा म आफ्नै क्षमतामा भर पर्न सक्छु।,,,,minimal,,,,,,,
select_one apply,gsechoice3,I can usually solve even challenging and complex tasks well.,म चुनौतीपूर्ण र गाह्रो कामहरू पनि प्रायः राम्रोसँग आँफै समाधान गर्न सक्छु।,,,,minimal,,,,,,,
end_group,,,,,,,,,,,,,,
begin_group,risktaking,Risk Proneness short scale,Risk Proneness short scale,,,,field-list,,${likertpassed} = ‘yes’,,,,,
