type,name,label::English (en),label::Nepali (ne),hint::English (en),hint::Nepali (ne),required,appearance,constraint,relevant,calculation,default,repeat_count,choice_filter,parameters
begin_repeat,namegen_details2,,,,,,field-list,,"indexed-repeat(${alters2}, ${namegen2}, position(..)) != ‘’",,,count(${alters2}),,
calculate,name_alters2,,,,,,,,,"indexed-repeat(${alters2}, ${namegen2}, position(..))",,,,
select_one yesno,namedbefore2,Has ${name_alters2} already been identified?,Has ${name_alters2} already been identified?,,,,,,,,,,,
begin_group,namedbefore2yes,,,,,,,,${namedbefore2}=‘yes’,,,,,
note,namesfromprev2,${new_alters1},${new_alters1},,,,,,,,,,,
text,wherenamed2,Where has this person been identified? ?,Where has this person been identified? ?,,,,,,,,,,,
end_group,namedbefore2yes,,,,,,,,,,,,,
calculate,currentpos2,,,,,,,,,position(..),,,,
begin_group,namedbefore2no,,,,,,,,${namedbefore2}=‘no’,,,,,
calculate,alter_text2,,,,,,,,,"concat(“2.”, ${currentpos2}, “: ”, ${name_alters2})",,,,
select_one_from_file individual.csv,selected_name2,Search for ${name_alters2}’s ID,Search for ${name_alters2}’s ID,,,,autocomplete minimal,,,,,,,
calculate,firstname2,,,,,,,,,"pulldata('indiv','firstname','name',${selected_name2})",,,,
calculate,gender2,,,,,,,,,"pulldata('indiv','gender','name',${selected_name2})",,,,
calculate,age2,,,,,,,,,"pulldata('indiv','age','name',${selected_name2})",,,,
calculate,fathername2,,,,,,,,,"pulldata('indiv','fathersname','name',${selected_name2})",,,,
calculate,mothername2,,,,,,,,,"pulldata('indiv','mothersname','name',${selected_name2})",,,,
calculate,jati2,,,,,,,,,"pulldata('indiv','jati','name',${selected_name2})",,,,
calculate,location2,,,,,,,,,"pulldata('indiv','location','name',${selected_name2})",,,,
calculate,occupation2,,,,,,,,,"pulldata('indiv','occupation','name',${selected_name2})",,,,
note,fullnamenote2,Name: ${firstname2} | Jati: ${jati2} | Gender: ${gender2} | Age: ${age2} | Father's Name: ${fathername2} | Mother's name: ${mothername2} | Location: ${location2} | Occupation: ${occupation2},Name: ${firstname2} ${jati2} | Gender: ${gender2} | Age: ${age2} | Father's Name: ${fathername2} | Mother's name: ${mothername2} | Location: ${location2} | Occupation: ${occupation2},,,,,,,,,,,
select_one yesno,yesnoid2,Did you find the ID?,Did you find the ID?,,,,,,,,,,,
select_one yesno,yesnoid_resnoid2,Is this person a resident in Gidane?,Is this person a resident in Gidane?,,,,,,${yesnoid2} = ‘no’,,,,,
select_multiple relationtorespondent,relationtorespondent2,Relationship to you,Relationship to you,,,,minimal,,,,,,,
text,fullname_missing2,Enter first name (and thar if applicable): ,Enter first name (and thar if applicable): ,,,,,,(${yesnoid2}=’yes’ and ${firstname2}='NA') or ${yesnoid2}=’no’,,,,,
text,jati_missing2,Enter jati:,Enter jati:,,,,,,(${yesnoid2}=’yes’ and ${jati2}='NA') or ${yesnoid2}=’no’,,,,,
select_one gender,genderselect_missing2,Select gender:,Select gender:,,,,,,(${yesnoid2}=’yes’ and ${gender2}='NA') or ${yesnoid2}=’no’,,,,,
text,othergender_missing2,Specify gender: ,Specify gender: ,,,,,,${genderselect_missing2}='other',,,,,
integer,age_missing2,Enter age,Enter age,,,,,,(${yesnoid2}=’yes’ and ${age2}='NA') or ${yesnoid2}=’no’,,,,,
text,fathername_missing2,Enter father's name,Enter father's name,,,,,,(${yesnoid2}=’yes’ and ${fathername2}='NA') or ${yesnoid2}=’no’,,,,,
text,mothername_missing2,Enter mother's name,Enter mother's name,,,,,,(${yesnoid2}=’yes’ and ${mothername2}='NA') or ${yesnoid2}=’no’,,,,,
text,location_missing2,Enter location,Enter location,,,,,,(${yesnoid2}=’yes’ and ${location2}='NA') or ${yesnoid2}=’no’,,,,,
select_multiple occupation,occupationmissing2,Select occupation,Select occupation,,,,minimal,,(${yesnoid2}=’yes’ and ${occupation2}='NA') or ${yesnoid2}=’no’,,,,,
select_one yesno,status2,Does this person hold or have they held any official leadership role or position of authority?,"Does this person hold or have they held any official leadership role or position of authority? -- के वहाँ कुनै आधिकारिक पदमा वा अरुलाई नेतृत्व गर्ने पदमा (जस्तै पुलिस, हाकिम, कर्मचारी, नेता वा यस्तै कुनै पद) अहिले हुनुहुन्छ वा पहिले हुनुहुन्थ्यो?",,,,,,,,,,,
select_one yesno,economicwealth2,Does this person own a motorbike / scooter / car?,Does this person own a motorbike / scooter / car?,,,,,,,,,,,
text,helpivanfind2,Enter information that will help Ivan find this person.,Enter information that will help Ivan find this person.,,,,,,${yesnoid_resnoid2}=’yes’,,,,,
text,comment2,Any other comments,Any other comments,,,,,,,,,,,
calculate,alter_fulltext_firstname2,,,,,,,,,"if(${yesnoid2}=’no’, ${fullname_missing2}, if(${firstname2}='NA', ${fullname_missing2}, ${firstname2}))",,,,
calculate,alter_fulltext_lastname2,,,,,,,,,"if(${yesnoid2}=’no’, ${jati_missing2}, if(${jati2}='NA', ${jati_missing2}, ${jati2}))",,,,
calculate,alter_fulltext2,,,,,,,,,"concat(${alter_text2}, “ - “, ${alter_fulltext_firstname2}, “ “, ${alter_fulltext_lastname2}, “ | “)",,,,
end_group,,,,,,,,,,,,,,
end_repeat,,,,,,,,,,,,,,
calculate,new_alters2,,,,,,,,,concat(${alter_fulltext2}),,,,
